model,requested_far,tar_percent,actual_far,threshold,nearest_tar_percent,nearest_actual_far
ijbc_calibrated,1e-06,89.2059109270338,9.591447804747792e-07,0.46187249082930953,89.22636396175282,1.0230877658397645e-06
ijbc_calibrated,1e-05,93.84874980825279,9.975105716937703e-06,0.35771868203973733,93.84874980825279,9.975105716937703e-06
ijbc_calibrated,0.0001,96.06279081658741,9.94952852279171e-05,0.27684405245505983,96.06279081658741,9.94952852279171e-05
ijbc_calibrated,0.001,97.48938998823951,0.000990540786288987,0.20224449928203192,97.49450324691927,0.0010014750367863994
ijbc_calibrated,0.01,98.38421025719691,0.00985949679939781,0.1354931334744856,98.38421025719691,0.00985949679939781
ijbc_calibrated,0.1,99.05916040292479,0.09920357732868204,0.06886616332385809,99.06427366160455,0.10076947709728516
no_ijbc_head,1e-06,80.46223858465,9.591447804747792e-07,0.4672265333155675,80.46735184332975,1.0230877658397645e-06
no_ijbc_head,1e-05,88.6996983177379,9.975105716937703e-06,0.3678404639943549,88.6996983177379,9.975105716937703e-06
no_ijbc_head,0.0001,93.42434933783301,9.987894314010701e-05,0.27785891819856656,93.42434933783301,9.987894314010701e-05
no_ijbc_head,0.001,95.96563890167204,0.000994377365410886,0.20462946258712839,95.96563890167204,0.000994377365410886
no_ijbc_head,0.01,97.6427877486322,0.00999134723522041,0.1383031092686658,97.6427877486322,0.00999134723522041
no_ijbc_head,0.1,98.80861072761671,0.09996942246439847,0.07099331558106256,98.80861072761671,0.09996942246439847
prelu_baseline,1e-06,90.35639412997904,9.591447804747792e-07,0.46535702349941854,90.38707368205758,1.0230877658397645e-06
prelu_baseline,1e-05,94.86117502684462,9.847219746207734e-06,0.3485184620480048,94.86117502684462,9.847219746207734e-06
prelu_baseline,0.0001,96.55366364984404,9.847219746207733e-05,0.267762704546643,96.5587769085238,0.00010000682911083698
prelu_baseline,0.001,97.7143733701488,0.0009927787907767615,0.19538163703957112,97.71948662882856,0.0010001322340937348
prelu_baseline,0.01,98.54272127626936,0.009799134621213264,0.1322409906100725,98.54783453494912,0.010039879961112434
prelu_baseline,0.1,99.10006647236284,0.09792177624405554,0.0685523974213165,99.1051797310426,0.10139228177474012
