run_id,evaluation_id,checkpoint,checkpoint_sha256,dataset,protocol,calibration,finite_scope,nonfinite_embedding_rows,far_rule,requested_far,actual_far,tar_percent,threshold,source,source_sha256,scores,scores_sha256
channelwise_template_supervised01_20260915,0915_ijbc_calibrated,work_dirs/channelwise_template_supervised01_20260915/ijbc_full/evaluated_checkpoint.pt,64e3e65555638cbe43d93f104a9d8e913346bab070e4538cebf950479fb3fddf,IJB-C,0915_full_original_flip,ijbc_images_and_labels_calibration_set_performance,full_module_audit,0,strict,0.1,0.09920357732868204,99.05916040292479,0.06886616332385809,docs/0915_result/metrics.json,6d4c8a7485bc227362f5dfc62f6c3e37282b4b8655d79e01e5eccdc0a684061c,work_dirs/channelwise_template_supervised01_20260915/ijbc_full/pair_geometry/ijbc.npy,c1b1169d1a2b731c9d4031dcae088b34bfcbf1f521dc5719f21ec127e9e3ee8f
channelwise_template_supervised01_20260915,0915_ijbc_calibrated,work_dirs/channelwise_template_supervised01_20260915/ijbc_full/evaluated_checkpoint.pt,64e3e65555638cbe43d93f104a9d8e913346bab070e4538cebf950479fb3fddf,IJB-C,0915_full_original_flip,ijbc_images_and_labels_calibration_set_performance,full_module_audit,0,nearest,0.1,0.10076947709728516,99.06427366160455,unknown,docs/0915_result/metrics.json,6d4c8a7485bc227362f5dfc62f6c3e37282b4b8655d79e01e5eccdc0a684061c,work_dirs/channelwise_template_supervised01_20260915/ijbc_full/pair_geometry/ijbc.npy,c1b1169d1a2b731c9d4031dcae088b34bfcbf1f521dc5719f21ec127e9e3ee8f
controlled_degree2_accuracy_recovery_head_only_v3_20260908,0915_no_ijbc_head,work_dirs/controlled_degree2_accuracy_recovery_head_only_v3_20260908/train/student_best.pt,618d6ee7b6b38a35eb8f5e768df13c07a3d2acc6a7fa5287275f046e5c7e920b,IJB-C,0915_full_original_flip,no_ijbc_calibration_in_verified_chain_but_historical_ijbb_overlap,augmented_embeddings_only,0,strict,1e-06,9.591447804747792e-07,80.46223858465,0.4672265333155675,docs/0915_result/metrics.json,6d4c8a7485bc227362f5dfc62f6c3e37282b4b8655d79e01e5eccdc0a684061c,work_dirs/controlled_degree2_accuracy_recovery_head_only_v3_20260908/ijbc_epoch1/result/controlled_d2/ijbc.npy,d03bd7e9222af4c7c673381e5ef6105ee2246e2d69c644aea51cbc099ab1ad55
controlled_degree2_accuracy_recovery_head_only_v3_20260908,0915_no_ijbc_head,work_dirs/controlled_degree2_accuracy_recovery_head_only_v3_20260908/train/student_best.pt,618d6ee7b6b38a35eb8f5e768df13c07a3d2acc6a7fa5287275f046e5c7e920b,IJB-C,0915_full_original_flip,no_ijbc_calibration_in_verified_chain_but_historical_ijbb_overlap,augmented_embeddings_only,0,nearest,1e-06,1.0230877658397645e-06,80.46735184332975,unknown,docs/0915_result/metrics.json,6d4c8a7485bc227362f5dfc62f6c3e37282b4b8655d79e01e5eccdc0a684061c,work_dirs/controlled_degree2_accuracy_recovery_head_only_v3_20260908/ijbc_epoch1/result/controlled_d2/ijbc.npy,d03bd7e9222af4c7c673381e5ef6105ee2246e2d69c644aea51cbc099ab1ad55
controlled_degree2_accuracy_recovery_head_only_v3_20260908,0915_no_ijbc_head,work_dirs/controlled_degree2_accuracy_recovery_head_only_v3_20260908/train/student_best.pt,618d6ee7b6b38a35eb8f5e768df13c07a3d2acc6a7fa5287275f046e5c7e920b,IJB-C,0915_full_original_flip,no_ijbc_calibration_in_verified_chain_but_historical_ijbb_overlap,augmented_embeddings_only,0,strict,1e-05,9.975105716937703e-06,88.6996983177379,0.3678404639943549,docs/0915_result/metrics.json,6d4c8a7485bc227362f5dfc62f6c3e37282b4b8655d79e01e5eccdc0a684061c,work_dirs/controlled_degree2_accuracy_recovery_head_only_v3_20260908/ijbc_epoch1/result/controlled_d2/ijbc.npy,d03bd7e9222af4c7c673381e5ef6105ee2246e2d69c644aea51cbc099ab1ad55
controlled_degree2_accuracy_recovery_head_only_v3_20260908,0915_no_ijbc_head,work_dirs/controlled_degree2_accuracy_recovery_head_only_v3_20260908/train/student_best.pt,618d6ee7b6b38a35eb8f5e768df13c07a3d2acc6a7fa5287275f046e5c7e920b,IJB-C,0915_full_original_flip,no_ijbc_calibration_in_verified_chain_but_historical_ijbb_overlap,augmented_embeddings_only,0,nearest,1e-05,9.975105716937703e-06,88.6996983177379,unknown,docs/0915_result/metrics.json,6d4c8a7485bc227362f5dfc62f6c3e37282b4b8655d79e01e5eccdc0a684061c,work_dirs/controlled_degree2_accuracy_recovery_head_only_v3_20260908/ijbc_epoch1/result/controlled_d2/ijbc.npy,d03bd7e9222af4c7c673381e5ef6105ee2246e2d69c644aea51cbc099ab1ad55
controlled_degree2_accuracy_recovery_head_only_v3_20260908,0915_no_ijbc_head,work_dirs/controlled_degree2_accuracy_recovery_head_only_v3_20260908/train/student_best.pt,618d6ee7b6b38a35eb8f5e768df13c07a3d2acc6a7fa5287275f046e5c7e920b,IJB-C,0915_full_original_flip,no_ijbc_calibration_in_verified_chain_but_historical_ijbb_overlap,augmented_embeddings_only,0,strict,0.0001,9.987894314010701e-05,93.42434933783301,0.27785891819856656,docs/0915_result/metrics.json,6d4c8a7485bc227362f5dfc62f6c3e37282b4b8655d79e01e5eccdc0a684061c,work_dirs/controlled_degree2_accuracy_recovery_head_only_v3_20260908/ijbc_epoch1/result/controlled_d2/ijbc.npy,d03bd7e9222af4c7c673381e5ef6105ee2246e2d69c644aea51cbc099ab1ad55
controlled_degree2_accuracy_recovery_head_only_v3_20260908,0915_no_ijbc_head,work_dirs/controlled_degree2_accuracy_recovery_head_only_v3_20260908/train/student_best.pt,618d6ee7b6b38a35eb8f5e768df13c07a3d2acc6a7fa5287275f046e5c7e920b,IJB-C,0915_full_original_flip,no_ijbc_calibration_in_verified_chain_but_historical_ijbb_overlap,augmented_embeddings_only,0,nearest,0.0001,9.987894314010701e-05,93.42434933783301,unknown,docs/0915_result/metrics.json,6d4c8a7485bc227362f5dfc62f6c3e37282b4b8655d79e01e5eccdc0a684061c,work_dirs/controlled_degree2_accuracy_recovery_head_only_v3_20260908/ijbc_epoch1/result/controlled_d2/ijbc.npy,d03bd7e9222af4c7c673381e5ef6105ee2246e2d69c644aea51cbc099ab1ad55
controlled_degree2_accuracy_recovery_head_only_v3_20260908,0915_no_ijbc_head,work_dirs/controlled_degree2_accuracy_recovery_head_only_v3_20260908/train/student_best.pt,618d6ee7b6b38a35eb8f5e768df13c07a3d2acc6a7fa5287275f046e5c7e920b,IJB-C,0915_full_original_flip,no_ijbc_calibration_in_verified_chain_but_historical_ijbb_overlap,augmented_embeddings_only,0,strict,0.001,0.000994377365410886,95.96563890167204,0.20462946258712839,docs/0915_result/metrics.json,6d4c8a7485bc227362f5dfc62f6c3e37282b4b8655d79e01e5eccdc0a684061c,work_dirs/controlled_degree2_accuracy_recovery_head_only_v3_20260908/ijbc_epoch1/result/controlled_d2/ijbc.npy,d03bd7e9222af4c7c673381e5ef6105ee2246e2d69c644aea51cbc099ab1ad55
controlled_degree2_accuracy_recovery_head_only_v3_20260908,0915_no_ijbc_head,work_dirs/controlled_degree2_accuracy_recovery_head_only_v3_20260908/train/student_best.pt,618d6ee7b6b38a35eb8f5e768df13c07a3d2acc6a7fa5287275f046e5c7e920b,IJB-C,0915_full_original_flip,no_ijbc_calibration_in_verified_chain_but_historical_ijbb_overlap,augmented_embeddings_only,0,nearest,0.001,0.000994377365410886,95.96563890167204,unknown,docs/0915_result/metrics.json,6d4c8a7485bc227362f5dfc62f6c3e37282b4b8655d79e01e5eccdc0a684061c,work_dirs/controlled_degree2_accuracy_recovery_head_only_v3_20260908/ijbc_epoch1/result/controlled_d2/ijbc.npy,d03bd7e9222af4c7c673381e5ef6105ee2246e2d69c644aea51cbc099ab1ad55
