artifact_group,method,requested_far,tar_percent,far_rule,actual_far,checkpoint_sha256,calibration,review_status,finite_evidence,source,source_sha256,original_csv
quadT12c_ijbc,ijbc-IJBC,0.01,98.13,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [], ""logs"": [{""nonfinite_augmented_embedding_rows"": [193], ""path"": ""work_dirs/quadT12c_ijbc/slurm-372445.out""}]}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/quadT12c_ijbc/controlled_d2/ijbc_tar_at_far.csv
quadT12c_ijbc,ijbc-IJBC,0.1,98.84,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [], ""logs"": [{""nonfinite_augmented_embedding_rows"": [193], ""path"": ""work_dirs/quadT12c_ijbc/slurm-372445.out""}]}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/quadT12c_ijbc/controlled_d2/ijbc_tar_at_far.csv
channelwise_prelu_verified_20260915,ijbc-IJBC,1e-06,90.39,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_prelu_verified_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_prelu_verified_20260915/ijbc_full/original_prelu/ijbc_tar_at_far.csv
channelwise_prelu_verified_20260915,ijbc-IJBC,1e-05,94.86,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_prelu_verified_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_prelu_verified_20260915/ijbc_full/original_prelu/ijbc_tar_at_far.csv
channelwise_prelu_verified_20260915,ijbc-IJBC,0.0001,96.56,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_prelu_verified_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_prelu_verified_20260915/ijbc_full/original_prelu/ijbc_tar_at_far.csv
channelwise_prelu_verified_20260915,ijbc-IJBC,0.001,97.72,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_prelu_verified_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_prelu_verified_20260915/ijbc_full/original_prelu/ijbc_tar_at_far.csv
channelwise_prelu_verified_20260915,ijbc-IJBC,0.01,98.55,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_prelu_verified_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_prelu_verified_20260915/ijbc_full/original_prelu/ijbc_tar_at_far.csv
channelwise_prelu_verified_20260915,ijbc-IJBC,0.1,99.11,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_prelu_verified_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_prelu_verified_20260915/ijbc_full/original_prelu/ijbc_tar_at_far.csv
ms1mv3_r50_layerwise_poly_group4_d2,ijbc-IJBC,1e-06,75.66,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/ms1mv3_r50_layerwise_poly_group4_d2/ijbc_result/ms1mv3_r50_layerwise_poly_group4_d2/ijbc_tar_at_far.csv
ms1mv3_r50_layerwise_poly_group4_d2,ijbc-IJBC,1e-05,90.08,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/ms1mv3_r50_layerwise_poly_group4_d2/ijbc_result/ms1mv3_r50_layerwise_poly_group4_d2/ijbc_tar_at_far.csv
ms1mv3_r50_layerwise_poly_group4_d2,ijbc-IJBC,0.0001,94.51,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/ms1mv3_r50_layerwise_poly_group4_d2/ijbc_result/ms1mv3_r50_layerwise_poly_group4_d2/ijbc_tar_at_far.csv
ms1mv3_r50_layerwise_poly_group4_d2,ijbc-IJBC,0.001,96.55,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/ms1mv3_r50_layerwise_poly_group4_d2/ijbc_result/ms1mv3_r50_layerwise_poly_group4_d2/ijbc_tar_at_far.csv
ms1mv3_r50_layerwise_poly_group4_d2,ijbc-IJBC,0.01,97.97,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/ms1mv3_r50_layerwise_poly_group4_d2/ijbc_result/ms1mv3_r50_layerwise_poly_group4_d2/ijbc_tar_at_far.csv
