site,channels,left_lam_fit_min,left_lam_fit_p10,left_lam_fit_median,left_lam_fit_p90,left_lam_fit_max,right_lam_fit_min,right_lam_fit_p10,right_lam_fit_median,right_lam_fit_p90,right_lam_fit_max,right_over_left_lam_fit_min,right_over_left_lam_fit_p10,right_over_left_lam_fit_median,right_over_left_lam_fit_p90,right_over_left_lam_fit_max,left_lam_reg_over_fit_min,left_lam_reg_over_fit_p10,left_lam_reg_over_fit_median,left_lam_reg_over_fit_p90,left_lam_reg_over_fit_max,right_lam_reg_over_fit_min,right_lam_reg_over_fit_p10,right_lam_reg_over_fit_median,right_lam_reg_over_fit_p90,right_lam_reg_over_fit_max,left_c0_min,left_c0_p10,left_c0_median,left_c0_p90,left_c0_max,right_c0_min,right_c0_p10,right_c0_median,right_c0_p90,right_c0_max,left_c1_min,left_c1_p10,left_c1_median,left_c1_p90,left_c1_max,right_c1_min,right_c1_p10,right_c1_median,right_c1_p90,right_c1_max,left_c2_min,left_c2_p10,left_c2_median,left_c2_p90,left_c2_max,right_c2_min,right_c2_p10,right_c2_median,right_c2_p90,right_c2_max,right_over_left_c0_min,right_over_left_c0_p10,right_over_left_c0_median,right_over_left_c0_p90,right_over_left_c0_max,right_over_left_c2_min,right_over_left_c2_p10,right_over_left_c2_median,right_over_left_c2_p90,right_over_left_c2_max,c1_abs_difference_min,c1_abs_difference_p10,c1_abs_difference_median,c1_abs_difference_p90,c1_abs_difference_max,normalized_curve_rmse_min,normalized_curve_rmse_p10,normalized_curve_rmse_median,normalized_curve_rmse_p90,normalized_curve_rmse_max,raw_curve_rmse_on_overlap_min,raw_curve_rmse_on_overlap_p10,raw_curve_rmse_on_overlap_median,raw_curve_rmse_on_overlap_p90,raw_curve_rmse_on_overlap_max
prelu,64,0.4071509838104248,0.4071509838104248,0.4071509838104248,6.694811153411866,8.143019676208496,0.1523815095424652,0.1523815095424652,0.1523815095424652,2.496765375137329,3.0476303100585938,0.3302490711212158,0.3703260809183121,0.37426289916038513,0.37477885782718656,0.44239339232444763,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000834465027,0.3999999761581421,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.40000003576278687,0.003718107705935836,0.003718107705935836,0.003718107705935836,0.336418554186821,0.6040308475494385,0.0013936401810497046,0.0013936401810497046,0.0013936401810497046,0.12615960836410522,0.22632014751434326,0.3172052502632141,0.4794740617275238,0.5,0.5406085431575776,0.8747313022613525,0.3172052502632141,0.4794740617275238,0.5,0.5406085431575776,0.8747313022613525,0.019044330343604088,0.09707271233201027,1.4961403608322144,1.4961403608322144,1.4961583614349365,0.05081908404827118,0.25904384851455686,3.9974145889282227,3.9974145889282227,3.9974629878997803,0.35122472047805786,0.37379802763462067,0.374825119972229,0.3750511109828949,0.4047510027885437,2.4612374305725098,2.666959595680237,2.6718177795410156,2.6798439979553224,3.0382235050201416,0.0,0.0,0.0,0.0,0.0,9.14579827638637e-06,9.14583614390837e-06,9.14583614390837e-06,0.002083160526419684,0.020137075437840456,0.024420536503012416,0.024420536503012416,0.024420536503012416,0.2655332420296648,0.47819734228361754
layer1.0.prelu,64,0.5171911716461182,2.7225325107574463,5.3072898387908936,8.56350440979004,10.34382438659668,0.18658602237701416,1.0257606029510498,1.9399954676628113,3.203158783912659,3.731720209121704,0.3112727105617523,0.3560434728860855,0.37352728843688965,0.3768995553255081,0.4329216182231903,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.3999999761581421,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.40000003576278687,0.003955288324505091,0.16411761790513993,0.2849705368280411,0.4274977564811707,0.7303313612937927,0.0014670926611870527,0.06283140927553177,0.10436510667204857,0.16095651835203173,0.27356380224227905,0.35088050365448,0.40374892950057983,0.45613282918930054,0.48660815954208375,0.5100485682487488,0.35088050365448,0.40374892950057983,0.45613282918930054,0.48660815954208375,0.5100485682487488,0.0697551965713501,0.08664477542042733,0.12463731691241264,0.2282999247312546,1.181678056716919,0.19332046806812286,0.23136211037635804,0.33834291994571686,0.6096963286399841,3.275639772415161,0.3322676420211792,0.3683388292789459,0.3745897561311722,0.37553689777851107,0.40739086270332336,2.29875111579895,2.6541695594787598,2.6724019050598145,2.8054070711135863,3.2604217529296875,0.0,0.0,0.0,0.0,0.0,1.5712044200154128e-05,7.095793689629255e-05,0.0004908669081388815,0.0024708674529871836,0.013244522632703346,0.030954579162026798,0.12396247182709712,0.2606523978385797,0.5293542644817333,0.7302391823757327
layer1.1.prelu,64,3.3391404151916504,3.6939420223236086,4.525367975234985,5.599588012695312,6.77587366104126,1.2448081970214844,1.3844101786613465,1.6953434944152832,2.1396868705749514,2.3831465244293213,0.3419290781021118,0.3664328813552856,0.3742629140615463,0.375517001748085,0.3991062343120575,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000834465027,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.40000003576278687,0.17829503118991852,0.2012826219201088,0.22880900651216507,0.31077259182929995,0.4012632369995117,0.06680911034345627,0.07548844516277313,0.08529452979564667,0.11632272452116013,0.15030308067798615,0.364762544631958,0.379993262887001,0.42690813541412354,0.45844529867172246,0.4951316714286804,0.364762544631958,0.379993262887001,0.42690813541412354,0.45844529867172246,0.4951316714286804,0.10011620819568634,0.12183884829282761,0.16323956102132797,0.19858352988958358,0.22641606628894806,0.28530821204185486,0.31446180641651156,0.442333921790123,0.5278342485427856,0.6017224192619324,0.3591251075267792,0.371829628944397,0.3748677670955658,0.3757217824459076,0.3829740881919861,2.5052027702331543,2.6584574699401857,2.670725107192993,2.729215216636658,2.93257999420166,0.0,0.0,0.0,0.0,0.0,7.396680569162535e-06,4.923602426264814e-05,0.0002855552660060252,0.0014542345233171682,0.0032343644107314913,0.14356720973419973,0.20499795348169153,0.2531130321418169,0.3194359246764703,0.3675906276875935
layer1.2.prelu,64,2.1447362899780273,2.8416218757629395,3.4110803604125977,4.259273338317871,7.675113677978516,0.8011174201965332,1.0626787900924684,1.269545316696167,1.5698663115501406,2.8725104331970215,0.31005018949508667,0.3730133235454559,0.375,0.3757385820150375,0.42033135890960693,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000834465027,0.3999999761581421,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.40000003576278687,0.13308002054691315,0.16949040442705154,0.20530476421117783,0.2879529923200607,0.6800540685653687,0.04981207847595215,0.06355976611375809,0.07695765048265457,0.10785521194338799,0.2550051808357239,0.4151744544506073,0.42084781229496004,0.43455836176872253,0.44960453510284426,0.4703260660171509,0.4151744544506073,0.42084781229496004,0.43455836176872253,0.44960453510284426,0.4703260660171509,0.0804494246840477,0.17116358429193496,0.2078893631696701,0.24867806136608123,0.34200313687324524,0.21455465257167816,0.4581600993871689,0.5624217987060547,0.6539210200309753,0.914822518825531,0.3365766406059265,0.3742424756288528,0.3750329315662384,0.37583730816841127,0.3941461145877838,2.438059091567993,2.657537651062012,2.66662061214447,2.6766606092453005,3.176903247833252,0.0,0.0,0.0,0.0,0.0,3.937084951678931e-06,1.8080601170766867e-05,0.0004597520793738798,0.0015704196162806515,0.008314454854135777,0.11715244394501508,0.1500946102333395,0.18126119644526145,0.22269448177471093,0.3359804862787327
layer2.0.prelu,128,2.570319890975952,3.0227208852767946,3.791251301765442,4.981947755813598,7.85848331451416,1.0047298669815063,1.1832027673721313,1.4994730353355408,1.9242934346199034,3.0779058933258057,0.3263888657093048,0.3901284337043762,0.3916666507720947,0.39243802428245544,0.44335293769836426,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000834465027,0.3999999761581421,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.40000003576278687,0.129278302192688,0.18522018641233445,0.23832926899194717,0.3443307042121887,0.5485222935676575,0.05065250024199486,0.07250957414507866,0.0938347764313221,0.13097728937864303,0.21505475044250488,0.3446066975593567,0.36963905990123747,0.41136617958545685,0.46934921443462374,0.5211094617843628,0.3446066975593567,0.36963905990123747,0.41136617958545685,0.46934921443462374,0.5211094617843628,0.08496573567390442,0.14862914383411407,0.19879654794931412,0.2343758314847946,0.27190300822257996,0.21644172072410583,0.3826198041439056,0.5077841579914093,0.5975723803043366,0.6942753195762634,0.3534729778766632,0.39115290641784667,0.391810342669487,0.392358723282814,0.4166436791419983,2.330933094024658,2.5478347301483155,2.553108811378479,2.559198236465454,3.031548500061035,0.0,0.0,0.0,0.0,0.0,1.0821571897595177e-05,2.7881338966796065e-05,0.0001635520269402316,0.000740940539377038,0.009162135990273608,0.12346635161304262,0.1642375601069255,0.22708306514619095,0.28044632642402406,0.3863995329901364
layer2.1.prelu,128,1.3209376335144043,2.297635555267334,2.920989751815796,3.59554123878479,4.872625350952148,0.5764955282211304,0.9067797601222992,1.1583953499794006,1.4801318049430847,1.8857616186141968,0.317936509847641,0.39166662096977234,0.3920523375272751,0.43557122349739075,0.4474407434463501,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000834465027,0.3999999761581421,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.40000003576278687,0.09448838979005814,0.14358088672161104,0.19688759744167328,0.28231596052646635,0.3945700228214264,0.03707176074385643,0.056312537565827374,0.07816427573561668,0.11066045537590981,0.15459682047367096,0.3753204047679901,0.411853289604187,0.4383663833141327,0.46838898956775665,0.5141352415084839,0.3753204047679901,0.411853289604187,0.4383663833141327,0.46838898956775665,0.5141352415084839,0.13301916420459747,0.18605577945709229,0.246725931763649,0.30828888416290284,0.4445332884788513,0.33578479290008545,0.4541173279285431,0.6251365542411804,0.7720746994018555,1.0850995779037476,0.3594353199005127,0.3915085464715958,0.3921051025390625,0.41398280262947085,0.41758865118026733,2.3145272731781006,2.3721789836883547,2.549314498901367,2.553664040565491,3.1680490970611572,0.0,0.0,0.0,0.0,0.0,7.525534971191822e-06,2.849236174182514e-05,0.0003964199802655844,0.0085050228363004,0.012153487589646234,0.06287361449333835,0.12587603413731838,0.1570106844279067,0.18842207147238887,0.2249179758851482
layer2.2.prelu,128,1.093581199645996,2.058337759971619,3.010454297065735,4.021463537216187,5.114143371582031,0.484842449426651,0.8319650530815125,1.2689975500106812,1.703275465965271,2.282299041748047,0.3399328589439392,0.3916666507720947,0.43300777673721313,0.4451009929180145,0.4497980773448944,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000834465027,0.3999999761581421,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.40000003576278687,0.0735061839222908,0.14421617984771729,0.25615672767162323,0.3872100919485092,0.4693255126476288,0.028846072033047676,0.056529820710420606,0.1032438725233078,0.15708466172218322,0.19314800202846527,0.41358301043510437,0.438134229183197,0.4580957144498825,0.48118358552455903,0.5051954388618469,0.41358301043510437,0.438134229183197,0.4580957144498825,0.48118358552455903,0.5051954388618469,0.115834079682827,0.1440326139330864,0.20972464233636856,0.329361891746521,0.5381099581718445,0.27462685108184814,0.35188454389572144,0.5270029604434967,0.8357272982597351,1.3691296577453613,0.35780617594718933,0.3916790038347244,0.4118035286664963,0.4184386670589447,0.42119643092155457,2.3463075160980225,2.361482763290405,2.4011006355285645,2.5529795408248903,2.8866946697235107,0.0,0.0,0.0,0.0,0.0,8.704658916877961e-06,9.991961207865881e-05,0.00783113215061582,0.01196132233227941,0.014656138160727398,0.050995772094065105,0.10942778868480449,0.14975560052471545,0.18845783065255553,0.24801934952736707
layer2.3.prelu,128,2.0257863998413086,2.3692506551742554,2.805513024330139,3.973590230941772,5.54379415512085,0.7918733954429626,0.936763733625412,1.1053310632705688,1.574454164505005,2.4385898113250732,0.3901284337043762,0.3908967971801758,0.3916666507720947,0.43326362669467927,0.4468560218811035,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000834465027,0.3999999761581421,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.40000003576278687,0.126946359872818,0.16051815897226335,0.20152033120393753,0.322003099322319,0.40804606676101685,0.04976268485188484,0.06329945400357247,0.08030606433749199,0.12724258601665495,0.15994247794151306,0.376924991607666,0.4014991641044617,0.42334067821502686,0.44757914543151855,0.47710907459259033,0.376924991607666,0.4014991641044617,0.42334067821502686,0.44757914543151855,0.47710907459259033,0.12426742166280746,0.17400974333286284,0.259843572974205,0.3113457292318344,0.383876234292984,0.2969895005226135,0.4408074736595154,0.6600837409496307,0.792933440208435,0.9816670417785645,0.3906426429748535,0.3912467956542969,0.3919779509305954,0.4129644274711609,0.4201979339122772,2.3371646404266357,2.3784860610961913,2.5511035919189453,2.555986928939819,2.5602681636810303,0.0,0.0,0.0,0.0,0.0,9.421705163193991e-06,5.5936252324324664e-05,0.00034211928651894864,0.007161792479317822,0.013566932487141775,0.11434258867480103,0.13126222825468226,0.15395301768457942,0.2010461327112716,0.3318340120395946
layer3.0.prelu,256,2.0126028060913086,3.0907766819000244,3.9717814922332764,4.9806365966796875,6.924352169036865,0.6515061259269714,0.9985586106777191,1.283190906047821,1.6043859124183655,2.237098217010498,0.30752310156822205,0.3218080997467041,0.32307690382003784,0.32371318340301514,0.3664320111274719,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000834465027,0.3999999761581421,0.4000000059604645,0.4000000059604645,0.40000003576278687,0.40000003576278687,0.12132802605628967,0.19310906529426575,0.25733597576618195,0.3682202398777008,0.5091296434402466,0.03927627578377724,0.06244990974664688,0.0831197127699852,0.11901147291064262,0.16069936752319336,0.37410229444503784,0.402340829372406,0.43115662038326263,0.47151799499988556,0.5326367616653442,0.37410229444503784,0.402340829372406,0.43115662038326263,0.47151799499988556,0.5326367616653442,0.0956600159406662,0.14389726519584656,0.18425844609737396,0.22326575219631195,0.30892643332481384,0.2954545319080353,0.4458194226026535,0.5704725384712219,0.6885918080806732,0.9575701355934143,0.3148534595966339,0.3226194381713867,0.3232267051935196,0.32366427779197693,0.3458012044429779,2.857908010482788,3.0862438678741455,3.0940369367599487,3.1023213863372803,3.2485458850860596,0.0,0.0,0.0,0.0,0.0,8.053591705406339e-06,0.00010757463842114106,0.0005015895120761816,0.0007863598525241359,0.014411829576791635,0.08253929499334109,0.1402294971700816,0.19208565452050103,0.2407630541427901,0.30026234653760375
layer3.1.prelu,256,1.0639044046401978,2.042602062225342,2.591555595397949,2.988903045654297,5.236502170562744,0.3895915448665619,0.6850305795669556,0.9022713303565979,1.0457448959350586,1.695124864578247,0.3100469410419464,0.32307690382003784,0.35577550530433655,0.36511336266994476,0.38233792781829834,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000834465027,0.3999999761581421,0.4000000059604645,0.4000000059604645,0.40000003576278687,0.40000003576278687,0.07305754721164703,0.1257980689406395,0.1749551221728325,0.22403383255004883,0.40176671743392944,0.023571448400616646,0.04230362921953201,0.05899848975241184,0.0757085531949997,0.1297958642244339,0.407959520816803,0.43588851392269135,0.4536837488412857,0.47308845818042755,0.516808807849884,0.407959520816803,0.43588851392269135,0.4536837488412857,0.47308845818042755,0.516808807849884,0.12318860739469528,0.22961755096912384,0.2654337137937546,0.3294210433959961,0.5550093054771423,0.3803221881389618,0.6684697866439819,0.7809892892837524,0.9973991811275482,1.6513659954071045,0.315304696559906,0.3229130804538727,0.3393405079841614,0.3436233699321747,0.34724587202072144,2.8305013179779053,2.856858491897583,2.8931918144226074,3.0932323932647705,3.2189598083496094,0.0,0.0,0.0,0.0,0.0,2.6974138164444132e-05,0.00022878829600846598,0.006211411783435332,0.010252460080251102,0.01867866803895349,0.04695246062004338,0.0946738635320219,0.12782543673874672,0.14910727299114473,0.22361827287018196
layer3.2.prelu,256,0.8941714763641357,1.7914645671844482,2.438999891281128,2.985959768295288,4.966332912445068,0.2948208153247833,0.6386078596115112,0.8725911378860474,1.0595480799674988,1.5668305158615112,0.31117498874664307,0.32307693362236023,0.362488254904747,0.367876797914505,0.38566502928733826,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000834465027,0.3999999761581421,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.40000003576278687,0.05604858696460724,0.12998351454734802,0.207435704767704,0.27435173094272614,0.38832786679267883,0.018109021708369255,0.04389646276831627,0.0702563188970089,0.09280169755220413,0.12364713847637177,0.42753899097442627,0.4462570250034332,0.4571649134159088,0.47695451974868774,0.5122939944267273,0.42753899097442627,0.4462570250034332,0.4571649134159088,0.47695451974868774,0.5122939944267273,0.12993423640727997,0.21258804202079773,0.26541224122047424,0.36165399849414825,0.6906535625457764,0.41159477829933167,0.6198244094848633,0.7724959850311279,1.05489182472229,2.135425090789795,0.3161980211734772,0.32332415878772736,0.3426802158355713,0.34564532339572906,0.3477723300457001,2.8049869537353516,2.858519673347473,2.8880535364151,3.0921353101730347,3.206362009048462,0.0,0.0,0.0,0.0,0.0,1.674073834063348e-05,0.00026046953116257073,0.010664579608733639,0.012345984844240002,0.01895169462768193,0.03757798280676542,0.08722928711572103,0.11695514119887235,0.13882464173696868,0.2098017453750417
